tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
693,2020-04-20 00:23:22.3120,2020-04-20 00:34:55.7930,3900,Morgan Ave & Lombardy St,40.72226,-73.93889,3775,Suydam St & Knickerbocker Ave,40.702013,-73.923769,43775,Customer,1994,1
325,2020-04-20 00:23:34.0000,2020-04-20 00:28:59.0210,307,Canal St & Rutgers St,40.71427487,-73.98990025,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,42217,Subscriber,1989,1
508,2020-04-20 00:23:47.8110,2020-04-20 00:32:16.6820,3338,2 Ave & E 99 St,40.786258600000004,-73.94552579,3509,Lenox Ave & W 115 St,40.8011939,-73.9500739,34328,Subscriber,1970,1
1597,2020-04-20 00:23:48.5230,2020-04-20 00:50:26.2970,389,Broadway & Berry St,40.71044554,-73.96525063,361,Allen St & Hester St,40.71605866,-73.99190759,18462,Customer,1969,0
907,2020-04-20 00:23:53.4490,2020-04-20 00:39:01.0890,350,Clinton St & Grand St,40.71559509,-73.9870295,532,S 5 Pl & S 5 St,40.710451,-73.960876,36555,Subscriber,1995,1
7416,2020-04-20 00:24:20.3190,2020-04-20 02:27:57.2600,3757,Stagg St & Morgan Ave,40.710681,-73.93372,3778,Irving Ave & DeKalb Ave,40.7027,-73.92095,28048,Customer,1969,0
46560,2020-04-20 00:24:28.5400,2020-04-20 13:20:28.7160,3757,Stagg St & Morgan Ave,40.710681,-73.93372,3778,Irving Ave & DeKalb Ave,40.7027,-73.92095,19220,Customer,1969,0
316,2020-04-20 00:24:34.4590,2020-04-20 00:29:51.0970,426,West St & Chambers St,40.71754834,-74.01322069,3690,Park Pl & Church St,40.71334184275907,-74.00935515761375,34958,Subscriber,1993,1
1558,2020-04-20 00:24:41.3660,2020-04-20 00:50:40.0480,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,3712,W 35 St & Dyer Ave,40.754691750226016,-73.9974018931389,27965,Subscriber,1995,1
7366,2020-04-20 00:24:58.4920,2020-04-20 02:27:45.0050,3757,Stagg St & Morgan Ave,40.710681,-73.93372,3778,Irving Ave & DeKalb Ave,40.7027,-73.92095,17275,Subscriber,1988,2
1340,2020-04-20 00:25:04.1770,2020-04-20 00:47:24.5920,3067,Broadway & Whipple St,40.7016657,-73.9437303,3116,Huron St & Franklin St,40.732659999999996,-73.95826,32701,Customer,1969,0
580,2020-04-20 00:25:08.9360,2020-04-20 00:34:49.7100,3160,Central Park West & W 76 St,40.77896784,-73.97374737,450,W 49 St & 8 Ave,40.76227205,-73.98788205,38930,Subscriber,1964,1
346,2020-04-20 00:25:37.6520,2020-04-20 00:31:23.6940,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,3054,Greene Ave & Throop Ave,40.6894932,-73.942061,38368,Customer,1969,0
115,2020-04-20 00:26:28.1870,2020-04-20 00:28:23.3010,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.94791500000001,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,17718,Subscriber,1938,2
227,2020-04-20 00:26:51.1510,2020-04-20 00:30:38.1520,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,471,Grand St & Havemeyer St,40.71286844,-73.95698119,34156,Subscriber,1986,2
2173,2020-04-20 00:27:14.5430,2020-04-20 01:03:28.4000,350,Clinton St & Grand St,40.71559509,-73.9870295,3472,W 15 St & 10 Ave,40.742753828659026,-74.00747358798982,39124,Subscriber,1995,1
2166,2020-04-20 00:27:24.4920,2020-04-20 01:03:31.3160,350,Clinton St & Grand St,40.71559509,-73.9870295,3472,W 15 St & 10 Ave,40.742753828659026,-74.00747358798982,40201,Subscriber,1991,1
439,2020-04-20 00:27:29.6950,2020-04-20 00:34:49.3150,3773,Knickerbocker Ave & Thames St,40.70539,-73.92976,3891,Irving Ave & Palmetto St,40.698,-73.9127,30483,Subscriber,1986,1
230,2020-04-20 00:27:47.1370,2020-04-20 00:31:37.6080,3521,Lenox Ave & W 111 St,40.7987859,-73.9523,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,40379,Subscriber,1989,1
291,2020-04-20 00:27:57.1670,2020-04-20 00:32:48.9920,302,Avenue D & E 3 St,40.72082834,-73.97793172,302,Avenue D & E 3 St,40.72082834,-73.97793172,31987,Subscriber,1988,1
178,2020-04-20 00:28:26.8000,2020-04-20 00:31:25.2340,3286,E 89 St & 3 Ave,40.7806284,-73.9521667,3327,3 Ave & E 100 St,40.787721399999995,-73.94728331,18815,Customer,1969,0
609,2020-04-20 00:28:41.7470,2020-04-20 00:38:51.5620,3774,Knickerbocker Ave & George St,40.704425,-73.92836,3870,Melrose St & Broadway,40.697480999999996,-73.935877,39704,Subscriber,1989,2
878,2020-04-20 00:30:43.5490,2020-04-20 00:45:21.8340,368,Carmine St & 6 Ave,40.73038599,-74.00214988,448,W 37 St & 10 Ave,40.75660359,-73.9979009,31364,Subscriber,1982,2
1438,2020-04-20 00:31:11.3780,2020-04-20 00:55:09.6720,355,Bayard St & Baxter St,40.71602118,-73.99974372,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,40610,Customer,1995,1
163,2020-04-20 00:32:05.6670,2020-04-20 00:34:49.6660,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.94791500000001,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,28965,Subscriber,1938,2
666,2020-04-20 00:33:13.1440,2020-04-20 00:44:19.4050,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,72,W 52 St & 11 Ave,40.76727216,-73.99392888,33866,Subscriber,1977,2
672,2020-04-20 00:33:20.5500,2020-04-20 00:44:32.5620,3323,W 106 St & Central Park West,40.798185600000004,-73.96059090060001,3314,W 95 St & Broadway,40.7937704,-73.971888,29168,Subscriber,1972,1
1937,2020-04-20 00:33:26.8720,2020-04-20 01:05:44.8460,3343,W 107 St & Columbus Ave,40.7997568,-73.9621128676,3343,W 107 St & Columbus Ave,40.7997568,-73.9621128676,36439,Subscriber,1982,1
200,2020-04-20 00:34:54.4530,2020-04-20 00:38:14.6530,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,3241,Monroe St & Tompkins Ave,40.686203000000006,-73.944694,28965,Subscriber,1938,2
1354,2020-04-20 00:35:03.2670,2020-04-20 00:57:38.0280,349,Rivington St & Ridge St,40.71850211,-73.98329859,259,South St & Whitehall St,40.70122128,-74.01234218,19995,Customer,1969,0
3388,2020-04-20 00:37:13.0770,2020-04-20 01:33:42.0420,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,35618,Subscriber,1975,1
498,2020-04-20 00:37:44.9680,2020-04-20 00:46:03.8110,3495,E 114 St & 1 Ave,40.79456629999999,-73.9362541,3400,E 110 St & Madison Ave,40.796153499999996,-73.94782145,33981,Subscriber,1998,2
809,2020-04-20 00:38:48.9120,2020-04-20 00:52:18.1530,3494,E 115 St & Lexington Ave,40.797911,-73.9423,3325,E 95 St & 3 Ave,40.7849032,-73.950503,38434,Subscriber,1969,0
940,2020-04-20 00:39:10.0680,2020-04-20 00:54:50.4010,3799,6 Ave & W 34 St,40.74964,-73.98805,496,E 16 St & 5 Ave,40.73726186,-73.99238967,43519,Subscriber,1961,2
263,2020-04-20 00:39:49.0900,2020-04-20 00:44:12.4960,486,Broadway & W 29 St,40.7462009,-73.98855723,523,W 38 St & 8 Ave,40.75466591,-73.99138152,43212,Subscriber,1971,1
1345,2020-04-20 00:40:11.7610,2020-04-20 01:02:37.4550,3891,Irving Ave & Palmetto St,40.698,-73.9127,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,30483,Subscriber,1986,1
1464,2020-04-20 00:40:53.9820,2020-04-20 01:05:18.7800,3108,Nassau Ave & Russell St,40.725570000000005,-73.94434,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,43560,Subscriber,1979,1
352,2020-04-20 00:40:54.4820,2020-04-20 00:46:47.1230,410,Suffolk St & Stanton St,40.72066442,-73.98517977,251,Mott St & Prince St,40.72317958,-73.99480012,40713,Subscriber,1995,1
351,2020-04-20 00:41:00.7040,2020-04-20 00:46:52.2890,116,W 17 St & 8 Ave,40.74177603,-74.00149746,523,W 38 St & 8 Ave,40.75466591,-73.99138152,41009,Subscriber,1984,1
